When,PropDmg,PropDmg (adj. 2020),PropDmgPerCapita (adj. 2020),Magnitude
1960-04,5000.0,44276.97,0.33433,
1960-06,15952.38,141264.595,1.06666,65.0
1961-02,245.1,2148.68,0.01586,
1961-03,4901.96,42973.24,0.3171,63.0
1961-05,27397.26,240179.26,1.77228,
1961-07,595.24,5218.195,0.0385,
1961-08,6358.62666,55743.173339999994,0.41131999999999996,50.0
1961-09,666.66667,5844.36333,0.04313,
1962-04,4504.50333,39096.65,0.28207,75.0
1962-05,297.62,2583.18,0.01864,50.0
1962-07,1250.0,10849.325,0.07828,
1963-04,163.4,1399.68333,0.00988,
1963-06,,,,65.0
1964-04,6011.905,50833.495,0.35112,
1964-07,59.525,503.31,0.00348,
1964-11,2752.98,23277.745,0.16079,
1965-04,25813.00666,214796.69999999998,1.45273,
1965-07,,,,65.0
1965-08,,,,60.0
1965-09,6002.38,49947.350000000006,0.33781,
1966-04,396.82667,3210.37333,0.02127,
1966-05,1301.06,10525.724999999999,0.06973,
1966-06,59523.81,481554.31,3.19031,
1966-07,729.99833,5905.76833,0.03913,
1966-12,,,,60.0
1967-01,7575.76,59453.76,0.386,
1967-07,17857.5,140143.755,0.90986,
1967-08,8980.885,70481.02833,0.45758,
1967-10,490.2,3847.04,0.02498,
1968-05,4761.904,35867.488,0.2283,
1968-06,,,,50.0
1968-07,11.11,83.68333,0.00053,
1968-08,,,,55.0
1969-06,735.29,5251.61,0.03278,50.0
1969-07,81.3,580.66,0.00362,
1969-09,1190.48,8502.68,0.05308,
1969-10,595.24,4251.34,0.02654,
1970-03,122.55,827.905,0.00507,
1970-04,,,,50.0
1970-07,,,,50.0
1971-06,,,,57.0
1971-12,31474.36,203704.885,1.23984,
1972-03,50000.0,313540.24,1.91534,
1972-09,9259.26,58063.01334,0.3547,
1972-11,8064.52,50571.03,0.30892,
1973-04,5319.15,31402.11,0.1877,
1973-06,,,,60.0
1973-11,0.0,0.0,0.0,50.0
1974-03,312.5,1661.51,0.00988,
1974-04,83333.33333,443069.03333,2.63575,
1974-05,,,,50.0
1974-06,53253.8675,283141.67500000005,1.68437,56.0
1974-08,0.0,0.0,0.0,0.0
1975-01,4901.96,23882.9,0.14362,
1975-02,490.19334,2388.28,0.01436,
1975-03,976.36166,4756.94334,0.0286,
1975-04,1960.784,9553.16,0.05744,
1975-05,8116.62666,39545.12,0.2378,
1975-06,7.24666,35.30666,0.00022,
1975-07,0.85334,4.16,2e-05,
1975-08,101.85667,496.25667,0.00298,
1975-11,980.4,4776.62,0.02872,
1976-05,216.67,998.12,0.0059,
1976-06,2500.0,11516.68,0.0681,
1977-03,4901.96,21202.97,0.12421,
1977-04,490.2,2120.31,0.01242,
1977-05,117293.43834,507341.81,2.97212,
1977-06,4901.96,21202.97,0.12421,
1977-07,694.445,3003.755,0.0176,
1977-08,12500.0,54067.585,0.31674,
1977-09,833333.335,3604505.51,21.11603,
1977-10,781.25,3379.225,0.0198,
1978-05,245.1,985.36,0.00574,
1978-07,1909.72333,7677.545,0.04477,50.0
1979-04,73529.4,265475.2,1.58021,
1979-05,142.86,515.79,0.00307,
1979-06,,,,50.0
1979-10,500.0,1805.23,0.01075,
1979-12,49.02,176.98,0.00105,
1980-01,138.89,441.82,0.00262,
1980-04,24.51,77.97,0.00046,
1980-05,67901.0,215997.4,1.28271,
1980-06,35154.25,111827.905,0.6641,64.0
1980-07,53921.56,171527.91999999998,1.01862,
1980-09,2674.88,8508.97,0.05053,
1981-04,5259.105,15165.175,0.08893,52.0
1981-06,590.2,1701.9,0.00998,52.0
1981-07,7692.31,22181.58,0.13007,
1981-08,,,,54.0
1981-10,,,,55.0
1982-04,2475.0,6722.76,0.03918,
1982-05,49.02,133.15,0.00078,
1982-06,163.4,443.83667,0.00259,
1982-08,30434.785,82668.96,0.48179,
1982-12,4901.96,13315.03,0.0776,
1983-05,1633.98667,4300.2,0.02525,58.0
1983-06,163.4,430.02333,0.00252,
1983-07,925.93,2436.79,0.01431,
1983-08,99.02,260.595,0.00153,52.0
1985-11,2450.98,5970.725,0.03484,
1986-05,,,,0.0
1986-07,769.23,1839.69,0.01062,
1986-09,5000.0,11958.01,0.06904,
1987-02,535.54,1235.7,0.00711,
1987-05,1666.67,3845.66,0.02212,
1987-06,5500.0,12690.66,0.073,50.0
1987-07,250.0,576.85,0.00332,63.0
1987-08,8333.33,19228.25,0.1106,
1989-05,25000.0,52846.7,0.30548,
1989-08,,,,0.0
1990-06,6041.67,12116.61,0.07002,
1991-10,,,,0.0
1994-04,,,,0.0
1995-05,,,,0.0
1995-06,,,,0.0
1996-01,,,,61.0
1996-04,,,,65.0
1996-08,5000.0,8353.08,0.04912,
1997-04,1085.71,1773.12,0.0104,
1997-08,700000.0,1143200.92,6.70538,
1998-03,90000.0,144728.64,0.85218,
1998-06,500000.0,804047.98,4.73428,72.0
1999-02,,,,52.0
1999-04,,,,69.0
1999-06,,,,65.0
2000-05,,,,52.0
2000-08,,,,52.0
2001-04,,,,54.0
2001-05,,,,50.0
2001-07,15000.0,22200.99,0.12242,52.0
2001-08,,,,62.0
2001-10,,,,61.0
2002-05,,,,50.0
2002-06,,,,50.0
2002-07,,,,50.0
2003-06,,,,55.0
2003-07,,,,65.0
2004-05,,,,52.0
2004-07,2200000.0,3052743.3,16.3808,78.0
2005-06,,,,55.0
2005-07,,,,55.0
2005-09,,,,55.0
2005-11,,,,50.0
2006-04,,,,64.0
2006-05,,,,52.0
2007-05,,,,52.0
2007-07,2000.0,2528.38,0.0131,55.0
2007-08,,,,50.0
2007-10,33000.0,41718.26,0.21618,56.0
2008-04,,,,58.0
