When,PropDmg,PropDmg (adj. 2020),PropDmgPerCapita (adj. 2020),Magnitude
1960-04,384.62,3405.96,0.00066,63.0
1960-06,500.0,4427.7,0.00086,
1960-07,32307.69334,286097.32666,0.05578,
1960-08,10238.09666,90662.36834,0.017669999999999998,65.0
1960-09,6666.66666,59035.95334,0.0115,85.0
1961-02,245.1,2148.68,0.00042,
1961-03,9901.96,86805.96,0.0168,
1961-04,1388.88666,12175.73334,0.00236,
1961-05,50000.0,438327.16,0.08485,
1961-06,9615.375,84293.6,0.016309999999999998,
1961-07,1645.3,14423.59334,0.0028,
1961-08,11953.86,104794.02834,0.02029,
1961-09,666.66667,5844.36333,0.00113,
1962-04,4504.50333,39096.65,0.00751,60.0
1962-05,694.44333,6027.39333,0.00116,62.0
1962-06,,,,50.0
1962-07,166.66667,1446.57667,0.00028,
1962-10,138.88666,1205.46,0.00024,
1963-04,371.73,3184.24333,0.00061,70.0
1963-06,,,,0.0
1963-07,,,,55.0
1963-08,961.5375,8236.5325,0.00157,
1964-05,735.295,6217.265,0.00118,54.0
1964-06,3124.995,26423.31,0.005,
1964-07,1785.715,15099.065,0.00286,52.0
1965-01,19230.77,160024.205,0.03013,
1965-04,2083.33,17335.93,0.00326,60.0
1965-05,,,,0.0
1965-06,25000.0,208031.46,0.03916,55.0
1965-07,,,,0.0
1965-08,7352.94,61185.715,0.01152,72.0
1965-12,,,,50.0
1966-05,1301.06,10525.724999999999,0.00197,
1966-06,250000.0,2022528.095,0.37817,69.0
1966-07,2331.035,18858.33167,0.00353,69.0
1967-01,7575.76,59453.76,0.01104,
1967-04,139138.88666,1091947.1549999998,0.20279,61.0
1967-05,49.02,384.70333,7e-05,
1967-06,26666.665,209277.145,0.03886,55.0
1967-07,9803.92,76940.12,0.01428,55.0
1967-08,8980.885,70481.02833,0.01309,52.0
1967-10,490.2,3847.04,0.00071,52.0
1968-06,20906.86,157474.1,0.02905,60.0
1968-07,,,,0.0
1968-08,500000.0,3766086.8,0.69472,
1969-05,3846.155,27470.105,0.00503,
1969-06,4944.436659999999,35314.27666,0.00647,
1970-03,122.55,827.905,0.00015,
1970-05,196.08,1324.65,0.00024,
1970-07,,,,58.0
1970-08,16666.66666,112594.34666,0.0205,
1971-03,,,,60.0
1971-05,5000.0,32360.45,0.00586,
1971-07,,,,70.0
1971-08,,,,50.0
1972-05,5000.0,31354.02,0.00569,
1972-06,5000.0,31354.02,0.00569,
1972-07,,,,0.0
1972-08,143749.99834,901428.17666,0.16372,
1972-09,57047.615000000005,357734.45999999996,0.06498,
1972-11,29411.8,184435.66,0.0335,
1972-12,12500.0,78385.06,0.01424,
1973-04,155319.15,916941.4400000001,0.16818,
1973-09,1399.30166,8260.91166,0.00152,
1974-01,16.67,88.63,2e-05,
1974-03,2.275,12.095,0.0,
1974-04,,,,0.0
1974-05,98039.33333,521258.31333,0.09603,
1974-06,58744.60734,312334.997,0.05754000000000001,50.0
1974-07,83533.0,444130.624,0.08182,65.0
1975-01,4901.96,23882.9,0.00442,
1975-02,490.19334,2388.28,0.00044,
1975-03,976.36166,4756.94334,0.00088,
1975-04,71405.28400000001,347894.56,0.06444000000000001,
1975-05,170769.73334,832009.32,0.15412,59.0
1975-06,23624.3125,115100.3,0.02132,55.0
1975-07,508.42666,2477.12,0.00046,50.0
1975-08,5050.50666,24606.63334,0.00456,
1975-10,25000.0,121802.81,0.02256,
1975-11,980.4,4776.62,0.00088,64.0
1976-03,39705.88,182911.97,0.03396,68.0
1976-06,625.0,2879.17,0.00053,62.0
1976-07,5000.0,23033.36,0.00428,56.0
1977-03,504901.96,2183906.27,0.40689,50.0
1977-04,490.2,2120.31,0.0004,
1977-05,7238.7,31310.325,0.00584,63.0
1977-06,12441.64666,53815.17999999999,0.010029999999999999,55.0
1977-07,,,,0.0
1977-08,19607.84,84811.88,0.0158,
1977-09,1470.59,6360.9,0.00119,
1978-04,5000.0,20101.2,0.00376,
1978-05,245.1,985.36,0.00018,
1978-06,21241.82666,85397.23834,0.01599,55.0
1978-07,151572.71333,609358.6699999999,0.1141,57.0
1978-08,6066.18,24387.5,0.00457,78.0
1978-09,13888.88666,55836.65334,0.01046,
1979-04,73529.4,265475.2,0.05021,
1979-05,0.0,0.0,0.0,0.0
1979-12,49.02,176.98,3e-05,
1980-04,24.51,77.97,1e-05,
1980-05,67901.0,215997.4,0.04111,
1980-06,34941.155000000006,111150.04000000001,0.021159999999999998,
1980-07,264632.34,841812.3099999999,0.16022999999999998,70.0
1980-08,3124.995,9940.815,0.00189,50.0
1980-09,1323.53,4210.24,0.0008,
1981-04,4901.96,14135.31,0.00271,
1981-06,590.2,1701.9,0.00033,
1981-08,208.33,600.74,0.00012,
1982-04,21706.0,58959.27,0.01129,61.0
1982-05,50049.02,135946.44,0.02603,
1982-06,163.4,443.83667,8e-05,
1982-07,833.335,2263.56,0.00043,
1982-08,5434.785,14762.32,0.00283,65.0
1982-12,4901.96,13315.03,0.00255,54.0
1983-03,1470.59,3870.185,0.00074,
1983-05,9967.32167,26231.23,0.00503,
1983-06,1413.4,3719.67333,0.00071,
1983-07,10892.11333,28665.02333,0.0055,60.0
1983-08,350.245,921.75,0.00018,
1983-09,2083.33,5482.75,0.00105,52.0
1984-03,0.0,0.0,0.0,0.0
1984-04,4545.45,11467.29,0.0022,
1984-05,25000.0,63070.17,0.01208,
1984-06,,,,0.0
1984-07,,,,0.0
1984-08,5555.55667,14015.59667,0.00268,52.0
1984-11,,,,0.0
1985-03,1041.665,2537.555,0.00048,
1985-05,19230.77,46847.24,0.00901,
1985-06,6666.67,16240.380000000001,0.00312,
1985-07,1666.67,4060.1,0.00078,
1985-09,500.0,1218.03,0.00023,
1985-11,2450.98,5970.725,0.00115,
1985-12,1086.96,2647.9,0.00051,
1986-07,2166.67,5181.8099999999995,0.00099,65.0
1986-08,500.0,1195.8,0.00024,
1986-09,25500.0,60985.86,0.01176,55.0
1986-12,12500.0,29895.03,0.00576,
1987-02,1251251.32,2887126.29,0.55818,
1987-04,500.0,1153.7,0.00022,
1987-05,5500.0,12690.66,0.00246,55.0
1987-06,16666.67,38456.53,0.00744,
1987-08,50000.0,115369.56,0.0223,65.0
1988-04,,,,52.0
1988-05,57500.0,127403.89,0.02478,50.0
1988-08,5000.0,11078.6,0.00216,
1988-09,500.0,1107.86,0.00022,
1988-10,,,,0.0
1988-11,5000.0,11078.6,0.00216,
1989-04,5000.0,10569.34,0.00206,
1989-08,55000.0,116262.74,0.02268,
1990-03,250.0,501.38,0.0001,
1990-06,10001041.67,20057149.57,3.92909,130.0
1990-07,50000.0,100275.3,0.01964,
1990-10,33333.33,66850.19,0.0131,
1990-11,1000.0,2005.51,0.00039,
1991-03,110000.0,211697.22,0.0413,73.0
1991-05,16250.0,31273.449999999997,0.006110000000000001,
1991-07,50000.0,96226.01,0.01878,
1991-08,5000.0,9622.6,0.00188,
1992-06,55000.0,102755.38,0.01992,63.0
1992-07,0.0,0.0,0.0,0.0
1993-06,500.0,906.99,0.00018,
1993-08,,,,0.0
1994-07,,,,0.0
1995-06,,,,59.0
1995-08,5000.0,8599.73,0.00166,
1996-01,,,,53.0
1996-10,,,,69.0
1997-04,,,,50.0
1997-05,,,,57.0
1997-07,,,,56.0
1997-08,,,,52.0
1998-05,,,,56.0
1998-06,0.0,0.0,0.0,65.0
1998-07,,,,50.0
1998-08,0.0,0.0,0.0,61.0
1998-09,,,,52.0
1999-05,,,,50.0
1999-06,,,,52.0
1999-07,,,,55.0
2000-04,,,,53.0
2000-05,0.0,0.0,0.0,73.0
2000-08,,,,61.0
2001-04,50000.0,74003.29,0.01376,
2001-06,15000.0,22200.99,0.00412,73.0
2001-07,,,,52.0
2001-08,,,,50.0
2001-10,55000.0,81403.62,0.015139999999999999,50.0
2002-03,200000.0,291405.94,0.05441,
2002-06,,,,50.0
2003-05,10000.0,14245.63,0.00267,70.0
2003-07,5000000.0,7122816.32,1.33624,78.0
2003-08,,,,61.0
2004-05,,,,61.0
2004-07,,,,60.0
2005-06,,,,55.0
2005-07,,,,55.0
2005-09,,,,60.0
2005-10,,,,50.0
2005-11,120000.0,161056.62,0.03057,
2006-03,1615000.0,2099817.55,0.40096,70.0
2006-05,10000.0,13001.97,0.00248,61.0
2006-06,10000.0,13001.97,0.00248,
2006-07,40000.0,52007.87,0.00994,55.0
2006-08,265000.0,344552.1,0.0658,55.0
2006-09,125000.0,162524.58,0.03104,60.0
2006-10,1060000.0,1378208.43,0.26316,80.0
2007-03,0.0,0.0,0.0,61.0
2007-04,10000.0,12641.9,0.00241,
2007-05,25000.0,31604.74,0.00604,65.0
2007-06,50000.0,63209.49,0.01207,55.0
2007-07,2350000.0,2970846.02,0.56742,65.0
2007-08,888000.0,1122600.54,0.21442,70.0
2007-09,5000.0,6320.95,0.0012,60.0
2007-10,10000.0,12641.9,0.00242,63.0
